@relation movers
@attribute party_id real
@attribute session_count real
@attribute event_count real
@attribute homepage {t, f}
@attribute tv_home_theater {t, f}
@attribute computer_tables {t, f}
@attribute cell_phones {t, f}
@attribute cameras_camcorders {t, f}
@attribute audio_mp3 {t, f}
@attribute car_electronics_gps {t, f}
@attribute video_games_movies_music {t, f}
@attribute health_fitness {t, f}
@attribute home_office {t, f}
@attribute small_appliances {t, f}
@attribute appliances {t, f}
@attribute clearance {t, f}
@attribute searched {t, f}
@attribute list_page {t, f}
@attribute pdp {t, f}
@attribute cart_view {t, f}
@attribute conversion {t, f}
@attribute movers {t, f}
@data
5039248,1,3,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,?
5106909,1,10,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,?
5120705,1,4,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
5174627,1,18,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,?
5222726,1,36,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,t,t,?
526104211,1,5,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
526105718,1,14,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f,?
526116016,1,3,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
528048964,1,7,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
528050150,1,9,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,?
528290791,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f,?
528290791,1,29,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,t,?
528639651,1,52,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,?
528968646,1,1,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
528968646,1,1,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,?
529188858,1,10,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,t,t,?
529561586,1,1,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
530067116,1,26,f,f,f,f,f,f,f,t,f,f,f,f,f,t,t,t,t,f,?
530777150,1,1,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
531161311,1,10,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f,?
531181261,1,15,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,?
531181261,1,16,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,?
531576705,1,3,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,?
531841392,1,5,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
532116271,1,10,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,f,?
